epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6045,0.71956,3.40487,1.0022,0.67426,0.46616,0.44664,0.38993,0.5095,2.06424,0.87314,0.00022011,0.00022011,0.00022011
2,44.106,0.71288,1.77863,0.99179,0.74979,0.73341,0.78125,0.67817,0.51204,0.97537,0.88305,0.000438063,0.000438063,0.000438063
3,64.2826,0.66033,1.20401,0.96967,0.81137,0.84803,0.8926,0.80404,0.45641,0.73395,0.87869,0.000651614,0.000651614,0.000651614
4,85.9093,0.60239,0.99115,0.95563,0.95084,0.89925,0.95463,0.87904,0.39604,0.54059,0.85692,0.00064719,0.00064719,0.00064719
5,107.007,0.57233,0.86373,0.94267,0.96614,0.95071,0.98209,0.91066,0.38342,0.52805,0.85262,0.000640587,0.000640587,0.000640587
6,127.774,0.54517,0.77851,0.93215,0.97734,0.95842,0.98402,0.9173,0.3547,0.44779,0.84568,0.000633983,0.000633983,0.000633983
7,147.987,0.52335,0.71515,0.9292,0.98099,0.95768,0.9841,0.9181,0.36836,0.45448,0.85483,0.00062738,0.00062738,0.00062738
8,160.515,0.5256,0.69777,0.94004,0.9777,0.96873,0.98581,0.93082,0.32798,0.39871,0.83647,0.000620777,0.000620777,0.000620777
9,169.029,0.50871,0.64098,0.91891,0.98014,0.9634,0.98513,0.92641,0.35308,0.41201,0.84383,0.000614174,0.000614174,0.000614174
10,177.351,0.49674,0.62768,0.92002,0.9846,0.97149,0.98791,0.92504,0.35639,0.39773,0.83536,0.00060757,0.00060757,0.00060757
11,185.654,0.47905,0.60156,0.9163,0.98809,0.97165,0.98835,0.92415,0.34747,0.37924,0.83676,0.000600967,0.000600967,0.000600967
12,194.033,0.50078,0.59841,0.9271,0.98602,0.96934,0.98982,0.92752,0.36093,0.39278,0.84037,0.000594364,0.000594364,0.000594364
13,202.347,0.46488,0.5561,0.91213,0.9937,0.97116,0.98926,0.94215,0.30514,0.34353,0.82805,0.00058776,0.00058776,0.00058776
14,210.465,0.48071,0.56591,0.92012,0.99356,0.969,0.98883,0.93089,0.33601,0.35008,0.83412,0.000581157,0.000581157,0.000581157
15,218.951,0.45179,0.54428,0.91201,0.99209,0.97289,0.99014,0.94018,0.30993,0.33668,0.82432,0.000574554,0.000574554,0.000574554
16,228.465,0.46576,0.52319,0.91217,0.9904,0.9778,0.99111,0.94715,0.30003,0.32127,0.82051,0.00056795,0.00056795,0.00056795
17,237.854,0.44982,0.5156,0.909,0.99247,0.97844,0.99165,0.94858,0.31121,0.3191,0.82235,0.000561347,0.000561347,0.000561347
18,247.012,0.44677,0.50394,0.90239,0.99047,0.97436,0.99036,0.94071,0.31049,0.32578,0.81953,0.000554744,0.000554744,0.000554744
