epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2442,0.75126,3.23284,1.01512,0.63937,0.53412,0.49566,0.42694,0.53233,1.80677,0.901,0.000220555,0.000220555,0.000220555
2,21.3837,0.69249,1.51459,0.99286,0.86975,0.75562,0.83705,0.73563,0.48409,0.7578,0.88926,0.000438503,0.000438503,0.000438503
3,31.3427,0.61668,1.04061,0.94934,0.90688,0.89663,0.94418,0.8556,0.4428,0.6094,0.87669,0.00065205,0.00065205,0.00065205
4,41.2582,0.58752,0.89513,0.94491,0.98191,0.94932,0.98023,0.89395,0.40588,0.48235,0.85689,0.00064719,0.00064719,0.00064719
5,51.0236,0.54843,0.77854,0.94416,0.9834,0.96154,0.98232,0.91601,0.36024,0.44557,0.84893,0.000640587,0.000640587,0.000640587
6,60.667,0.51106,0.6945,0.92458,0.98065,0.96134,0.98099,0.92106,0.33711,0.41112,0.84035,0.000633983,0.000633983,0.000633983
7,70.4964,0.50646,0.65863,0.92702,0.98579,0.96492,0.98621,0.9184,0.36989,0.40308,0.8469,0.00062738,0.00062738,0.00062738
8,80.3597,0.47915,0.6105,0.91274,0.99174,0.96973,0.98931,0.93431,0.31226,0.3921,0.83191,0.000620777,0.000620777,0.000620777
9,90.7206,0.49137,0.60226,0.92298,0.99058,0.96744,0.98772,0.92919,0.32748,0.36489,0.83636,0.000614174,0.000614174,0.000614174
10,100.953,0.48236,0.58939,0.9194,0.99097,0.97059,0.98856,0.9379,0.31715,0.35169,0.83128,0.00060757,0.00060757,0.00060757
11,111.42,0.47817,0.56839,0.91592,0.99209,0.97257,0.99003,0.92834,0.35191,0.34972,0.83084,0.000600967,0.000600967,0.000600967
12,121.092,0.44709,0.53674,0.90725,0.99321,0.97416,0.98869,0.94652,0.29117,0.32946,0.82333,0.000594364,0.000594364,0.000594364
13,130.681,0.45195,0.52948,0.90756,0.99048,0.97405,0.99078,0.93877,0.32538,0.33921,0.82972,0.00058776,0.00058776,0.00058776
14,140.19,0.45137,0.51879,0.9126,0.99055,0.97627,0.99048,0.94851,0.29263,0.31495,0.8226,0.000581157,0.000581157,0.000581157
15,149.771,0.45035,0.50423,0.90707,0.9916,0.97828,0.99177,0.94866,0.28475,0.30875,0.82143,0.000574554,0.000574554,0.000574554
16,160.201,0.43901,0.4927,0.90729,0.99364,0.97564,0.99057,0.94395,0.31399,0.30824,0.82279,0.00056795,0.00056795,0.00056795
17,170.884,0.436,0.48715,0.90457,0.99341,0.97654,0.99137,0.95076,0.28669,0.29636,0.82431,0.000561347,0.000561347,0.000561347
18,181.496,0.43286,0.46745,0.90054,0.9921,0.98083,0.99191,0.9491,0.29695,0.29738,0.82073,0.000554744,0.000554744,0.000554744
19,192.244,0.42933,0.46529,0.89953,0.99363,0.97591,0.99152,0.94893,0.31251,0.30355,0.81833,0.000548141,0.000548141,0.000548141
20,201.792,0.42247,0.45388,0.89736,0.99109,0.98208,0.99287,0.95264,0.28777,0.29075,0.81884,0.000541537,0.000541537,0.000541537
21,211.32,0.43815,0.45717,0.90177,0.99144,0.98115,0.99211,0.95738,0.27046,0.28367,0.81383,0.000534934,0.000534934,0.000534934
22,221.306,0.42193,0.43435,0.89111,0.9934,0.98176,0.99284,0.95331,0.27802,0.2821,0.81643,0.000528331,0.000528331,0.000528331
23,231.936,0.40923,0.43031,0.89207,0.99282,0.98407,0.99252,0.95465,0.28332,0.28038,0.82129,0.000521727,0.000521727,0.000521727
24,242.574,0.4098,0.42403,0.88897,0.99128,0.98305,0.9922,0.95736,0.26641,0.27258,0.81434,0.000515124,0.000515124,0.000515124
25,253.353,0.40409,0.41782,0.88684,0.99229,0.98454,0.99287,0.95451,0.29984,0.27331,0.81488,0.000508521,0.000508521,0.000508521
26,264.116,0.40764,0.41178,0.89156,0.99437,0.97971,0.99285,0.9533,0.28968,0.27135,0.81732,0.000501917,0.000501917,0.000501917
27,275.101,0.4111,0.41559,0.89755,0.99318,0.98085,0.99242,0.9579,0.27569,0.27172,0.8148,0.000495314,0.000495314,0.000495314
28,285.579,0.39799,0.40668,0.88413,0.9947,0.97919,0.99226,0.9545,0.28789,0.266,0.81403,0.000488711,0.000488711,0.000488711
29,296.047,0.41151,0.41329,0.8939,0.99309,0.9831,0.99241,0.95674,0.2723,0.25929,0.81528,0.000482108,0.000482108,0.000482108
30,306.665,0.39293,0.3948,0.88377,0.99449,0.98411,0.99354,0.96085,0.27658,0.25747,0.81129,0.000475504,0.000475504,0.000475504
31,316.342,0.4035,0.39892,0.88536,0.99511,0.98286,0.99275,0.95869,0.28785,0.26181,0.81385,0.000468901,0.000468901,0.000468901
32,325.885,0.39051,0.38259,0.88349,0.99387,0.98416,0.99337,0.96179,0.26841,0.25113,0.81004,0.000462298,0.000462298,0.000462298
33,336.402,0.39697,0.39153,0.89117,0.99466,0.98322,0.99376,0.96281,0.26411,0.24696,0.80988,0.000455694,0.000455694,0.000455694
34,346.985,0.38492,0.38386,0.88416,0.99505,0.98322,0.99307,0.96461,0.25069,0.24296,0.80751,0.000449091,0.000449091,0.000449091
35,357.622,0.38358,0.37454,0.88191,0.99239,0.98466,0.99292,0.96499,0.24867,0.23919,0.80365,0.000442488,0.000442488,0.000442488
36,369.568,0.39032,0.38301,0.87783,0.99655,0.98027,0.99297,0.96306,0.25795,0.24503,0.80625,0.000435884,0.000435884,0.000435884
37,379.393,0.38961,0.37343,0.88886,0.99509,0.98268,0.99272,0.96564,0.25162,0.23877,0.80753,0.000429281,0.000429281,0.000429281
38,388.843,0.38819,0.3661,0.8844,0.9944,0.98372,0.99401,0.96582,0.2635,0.24239,0.80828,0.000422678,0.000422678,0.000422678
39,399.036,0.38064,0.36522,0.87981,0.99459,0.98435,0.99364,0.96539,0.26054,0.23464,0.80575,0.000416075,0.000416075,0.000416075
40,409.63,0.37819,0.35627,0.87741,0.99365,0.9859,0.99322,0.96734,0.24346,0.23656,0.80399,0.000409471,0.000409471,0.000409471
41,420.19,0.37181,0.35618,0.87646,0.99426,0.98453,0.99361,0.96958,0.23234,0.22774,0.80237,0.000402868,0.000402868,0.000402868
42,431.378,0.38534,0.35982,0.8867,0.99536,0.98399,0.99395,0.96886,0.24303,0.22811,0.80198,0.000396265,0.000396265,0.000396265
43,442.437,0.37822,0.35703,0.88352,0.99382,0.98692,0.9936,0.96571,0.2517,0.23304,0.80445,0.000389661,0.000389661,0.000389661
44,453.23,0.3753,0.35459,0.88227,0.99466,0.98427,0.99354,0.9666,0.26625,0.23721,0.80513,0.000383058,0.000383058,0.000383058
45,464.243,0.36944,0.34377,0.87924,0.99655,0.98627,0.9938,0.96983,0.24097,0.22751,0.80285,0.000376455,0.000376455,0.000376455
46,475.554,0.37118,0.34152,0.87498,0.99227,0.98781,0.99376,0.96829,0.24513,0.22428,0.80392,0.000369851,0.000369851,0.000369851
47,486.413,0.36894,0.34179,0.87378,0.99536,0.98673,0.99389,0.9712,0.24754,0.22507,0.8036,0.000363248,0.000363248,0.000363248
48,497.255,0.36734,0.335,0.87235,0.99622,0.98466,0.99367,0.96995,0.24635,0.22639,0.80041,0.000356645,0.000356645,0.000356645
49,508.03,0.36789,0.34369,0.87495,0.99514,0.98439,0.99383,0.96757,0.251,0.22215,0.80328,0.000350042,0.000350042,0.000350042
50,518.752,0.36846,0.33794,0.87345,0.99467,0.98623,0.99392,0.97156,0.23608,0.21561,0.80058,0.000343438,0.000343438,0.000343438
51,529.501,0.36176,0.32672,0.87045,0.99596,0.98645,0.99377,0.96952,0.25096,0.22022,0.80217,0.000336835,0.000336835,0.000336835
52,540.475,0.3631,0.32215,0.87372,0.99527,0.9859,0.99376,0.96886,0.26328,0.22246,0.80441,0.000330232,0.000330232,0.000330232
53,551.691,0.36575,0.33174,0.87319,0.9939,0.98447,0.99384,0.97126,0.24346,0.21929,0.80187,0.000323628,0.000323628,0.000323628
54,563.191,0.36304,0.32715,0.87209,0.99485,0.98437,0.99354,0.9722,0.24223,0.21866,0.80033,0.000317025,0.000317025,0.000317025
55,574.754,0.36192,0.32566,0.87217,0.9924,0.98656,0.99388,0.97296,0.23608,0.21513,0.79872,0.000310422,0.000310422,0.000310422
56,587.244,0.35721,0.32507,0.86391,0.99402,0.98593,0.99388,0.97261,0.23966,0.21215,0.79968,0.000303818,0.000303818,0.000303818
57,597.466,0.35173,0.31897,0.86886,0.99295,0.98706,0.99359,0.97355,0.22525,0.20789,0.79781,0.000297215,0.000297215,0.000297215
58,608.009,0.34341,0.31136,0.86285,0.99498,0.98654,0.99394,0.97515,0.22427,0.20697,0.79682,0.000290612,0.000290612,0.000290612
59,620.068,0.34289,0.30995,0.87016,0.99491,0.98488,0.99393,0.97358,0.22415,0.2067,0.79809,0.000284009,0.000284009,0.000284009
60,631.411,0.35816,0.32376,0.87363,0.99436,0.98617,0.99372,0.97159,0.24237,0.2161,0.80064,0.000277405,0.000277405,0.000277405
61,642.708,0.35192,0.31584,0.8702,0.99451,0.9874,0.99386,0.97419,0.22864,0.20491,0.80022,0.000270802,0.000270802,0.000270802
62,654.123,0.34026,0.30878,0.86672,0.99428,0.98628,0.99379,0.97449,0.22577,0.20422,0.79676,0.000264199,0.000264199,0.000264199
63,665.509,0.34852,0.31025,0.86677,0.99652,0.98516,0.99455,0.97495,0.22285,0.2061,0.79673,0.000257595,0.000257595,0.000257595
64,676.71,0.34279,0.30545,0.86299,0.99552,0.9868,0.99375,0.97539,0.22232,0.20094,0.7946,0.000250992,0.000250992,0.000250992
65,688.796,0.33863,0.30297,0.86299,0.99515,0.98495,0.99368,0.97502,0.21659,0.20044,0.79566,0.000244389,0.000244389,0.000244389
66,700.244,0.33871,0.30078,0.8634,0.9945,0.9877,0.99405,0.97496,0.24097,0.20494,0.79826,0.000237785,0.000237785,0.000237785
67,711.507,0.33602,0.29821,0.86577,0.99406,0.98841,0.9941,0.97571,0.21862,0.20056,0.79613,0.000231182,0.000231182,0.000231182
68,723.119,0.33982,0.30179,0.86635,0.99598,0.98678,0.99375,0.97549,0.22262,0.19864,0.79554,0.000224579,0.000224579,0.000224579
69,733.014,0.34221,0.30218,0.87134,0.99446,0.98797,0.9944,0.97685,0.21871,0.19543,0.79615,0.000217976,0.000217976,0.000217976
70,743.06,0.34633,0.30057,0.86549,0.99621,0.98653,0.994,0.97656,0.2188,0.19534,0.79481,0.000211372,0.000211372,0.000211372
71,753.431,0.34202,0.30224,0.86793,0.99397,0.98891,0.99402,0.97574,0.22654,0.19833,0.79641,0.000204769,0.000204769,0.000204769
72,764.798,0.34065,0.29991,0.86829,0.99438,0.98751,0.99413,0.97625,0.23105,0.19737,0.79683,0.000198166,0.000198166,0.000198166
73,775.95,0.32666,0.28782,0.86199,0.99391,0.98831,0.99411,0.97639,0.23299,0.19587,0.79643,0.000191562,0.000191562,0.000191562
74,786.633,0.33302,0.29025,0.86296,0.99607,0.98653,0.99416,0.97702,0.21215,0.19115,0.79484,0.000184959,0.000184959,0.000184959
75,797.32,0.32839,0.28743,0.86396,0.9967,0.98594,0.99404,0.97615,0.21682,0.19156,0.79491,0.000178356,0.000178356,0.000178356
76,808.331,0.32753,0.28744,0.86339,0.99429,0.98714,0.9941,0.97685,0.2175,0.19114,0.7948,0.000171752,0.000171752,0.000171752
77,819.048,0.32212,0.28274,0.86151,0.99253,0.98987,0.99437,0.97803,0.21854,0.19152,0.79426,0.000165149,0.000165149,0.000165149
78,829.813,0.32004,0.28157,0.85769,0.99352,0.99031,0.9942,0.97742,0.22453,0.19166,0.79477,0.000158546,0.000158546,0.000158546
79,841.193,0.32906,0.2841,0.86287,0.9946,0.98752,0.99438,0.97776,0.21203,0.18871,0.79432,0.000151943,0.000151943,0.000151943
80,852.502,0.32231,0.28626,0.8636,0.99523,0.98727,0.99411,0.97731,0.21836,0.18787,0.79387,0.000145339,0.000145339,0.000145339
81,863.44,0.32443,0.28117,0.86048,0.99409,0.98798,0.9943,0.978,0.21234,0.18592,0.79407,0.000138736,0.000138736,0.000138736
82,874.453,0.31429,0.27489,0.85741,0.99703,0.98595,0.994,0.97827,0.22053,0.18629,0.79416,0.000132133,0.000132133,0.000132133
83,885.601,0.31512,0.27585,0.85716,0.9944,0.98843,0.99418,0.97963,0.20322,0.18233,0.79215,0.000125529,0.000125529,0.000125529
84,896.62,0.31167,0.27449,0.85648,0.99484,0.98838,0.99421,0.97806,0.21808,0.18506,0.79352,0.000118926,0.000118926,0.000118926
85,907.433,0.32336,0.28092,0.85753,0.99565,0.98912,0.9946,0.9778,0.21227,0.18358,0.79294,0.000112323,0.000112323,0.000112323
86,917.834,0.32048,0.27499,0.85763,0.99689,0.98749,0.99452,0.97814,0.21306,0.18295,0.79332,0.00010572,0.00010572,0.00010572
87,928.422,0.31667,0.2752,0.85688,0.99506,0.98915,0.99405,0.97867,0.21743,0.18287,0.79314,9.91162e-05,9.91162e-05,9.91162e-05
88,939.02,0.3181,0.27324,0.86101,0.99587,0.98717,0.99451,0.97914,0.21532,0.18143,0.79347,9.25129e-05,9.25129e-05,9.25129e-05
89,949.656,0.30812,0.26621,0.85725,0.99671,0.98616,0.99427,0.97932,0.20691,0.1776,0.79223,8.59096e-05,8.59096e-05,8.59096e-05
90,960.242,0.31424,0.27083,0.85955,0.99692,0.98684,0.9942,0.97881,0.20683,0.17723,0.79213,7.93063e-05,7.93063e-05,7.93063e-05
91,977.98,0.24511,0.21885,0.81909,0.99642,0.98766,0.99452,0.9789,0.21224,0.17979,0.79236,7.2703e-05,7.2703e-05,7.2703e-05
92,989.33,0.24059,0.21461,0.81967,0.99596,0.98744,0.9946,0.97967,0.21232,0.17878,0.79176,6.60997e-05,6.60997e-05,6.60997e-05
93,999.762,0.23894,0.21285,0.81427,0.9954,0.98831,0.99422,0.97996,0.2052,0.1757,0.79159,5.94964e-05,5.94964e-05,5.94964e-05
94,1009.97,0.23005,0.20678,0.81264,0.99587,0.98767,0.99428,0.97962,0.21061,0.17763,0.79179,5.28931e-05,5.28931e-05,5.28931e-05
95,1020.16,0.23213,0.2072,0.81391,0.99623,0.98791,0.99427,0.97958,0.20378,0.17462,0.79066,4.62898e-05,4.62898e-05,4.62898e-05
96,1030.96,0.23351,0.2068,0.81094,0.99683,0.98771,0.99434,0.98045,0.20213,0.17205,0.78966,3.96865e-05,3.96865e-05,3.96865e-05
97,1042.39,0.22711,0.20598,0.81318,0.99593,0.98798,0.99428,0.98065,0.20207,0.17162,0.79007,3.30832e-05,3.30832e-05,3.30832e-05
98,1053.62,0.23217,0.2035,0.8117,0.99594,0.98728,0.99425,0.98084,0.20187,0.17087,0.78979,2.64799e-05,2.64799e-05,2.64799e-05
99,1064.9,0.22876,0.20428,0.81803,0.99534,0.98841,0.99419,0.98073,0.20098,0.17098,0.78995,1.98766e-05,1.98766e-05,1.98766e-05
100,1075.82,0.2306,0.20558,0.81367,0.99397,0.9899,0.99421,0.98078,0.20379,0.17136,0.78997,1.32733e-05,1.32733e-05,1.32733e-05
