epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.7665,0.74548,3.74806,1.01792,0.40398,0.22317,0.23856,0.21024,0.50772,3.22395,0.8491,0.000218804,0.000218804,0.000218804
2,91.4171,0.75155,2.37527,1.00594,0.51289,0.55744,0.5137,0.42927,0.57993,1.75894,0.92419,0.00043677,0.00043677,0.00043677
3,132.028,0.74362,1.70165,0.99443,0.58098,0.67951,0.68764,0.58649,0.53826,1.07673,0.88924,0.000650334,0.000650334,0.000650334
4,171.814,0.69477,1.33532,0.99206,0.7654,0.74437,0.80416,0.70559,0.49825,0.88389,0.90264,0.00064719,0.00064719,0.00064719
5,211.67,0.63505,1.10915,0.95851,0.8662,0.82772,0.8835,0.80815,0.42272,0.65694,0.86452,0.000640587,0.000640587,0.000640587
6,251.833,0.61961,1.04821,0.96816,0.87712,0.8709,0.91814,0.82188,0.45641,0.62915,0.86049,0.000633983,0.000633983,0.000633983
7,291.388,0.56901,0.91169,0.94184,0.95516,0.92274,0.97552,0.87867,0.43364,0.59499,0.86725,0.00062738,0.00062738,0.00062738
8,327.736,0.54816,0.83805,0.93498,0.9592,0.93801,0.98011,0.90629,0.37916,0.493,0.85178,0.000620777,0.000620777,0.000620777
9,370.724,0.55542,0.79538,0.94449,0.97359,0.95296,0.98391,0.92071,0.34997,0.45478,0.84012,0.000614174,0.000614174,0.000614174
10,417.615,0.53771,0.75729,0.93329,0.98279,0.95556,0.98382,0.92344,0.3455,0.45551,0.84165,0.00060757,0.00060757,0.00060757
11,462.136,0.52073,0.71858,0.92978,0.98349,0.96093,0.98422,0.91405,0.38104,0.44085,0.83993,0.000600967,0.000600967,0.000600967
12,502.949,0.5074,0.70364,0.92395,0.97782,0.95992,0.98289,0.92322,0.35267,0.43299,0.84179,0.000594364,0.000594364,0.000594364
13,543.186,0.5225,0.67768,0.93085,0.98891,0.96694,0.98756,0.93227,0.34072,0.408,0.83757,0.00058776,0.00058776,0.00058776
14,583.614,0.50762,0.64314,0.91282,0.9877,0.96612,0.98477,0.92246,0.36286,0.41048,0.83773,0.000581157,0.000581157,0.000581157
15,622.606,0.49009,0.61238,0.90865,0.9864,0.96331,0.98277,0.92091,0.35256,0.40875,0.83379,0.000574554,0.000574554,0.000574554
16,661.995,0.48956,0.60594,0.91627,0.98718,0.97084,0.98781,0.93666,0.31354,0.36844,0.8232,0.00056795,0.00056795,0.00056795
17,698.29,0.46776,0.58869,0.91248,0.99172,0.9681,0.98946,0.93953,0.31852,0.35912,0.82495,0.000561347,0.000561347,0.000561347
18,743.925,0.47056,0.58444,0.90865,0.99005,0.97418,0.98947,0.93632,0.32012,0.37674,0.82536,0.000554744,0.000554744,0.000554744
19,788.794,0.47411,0.58559,0.91408,0.99245,0.97204,0.9897,0.93741,0.32959,0.36979,0.82155,0.000548141,0.000548141,0.000548141
20,831.743,0.4744,0.56987,0.91442,0.99113,0.97449,0.9888,0.94364,0.31103,0.35409,0.822,0.000541537,0.000541537,0.000541537
21,871.799,0.47703,0.56114,0.90492,0.99122,0.97141,0.9882,0.94437,0.29622,0.34544,0.81936,0.000534934,0.000534934,0.000534934
22,912.11,0.45828,0.54301,0.9078,0.98755,0.97414,0.98862,0.93627,0.32921,0.35228,0.8255,0.000528331,0.000528331,0.000528331
23,952.677,0.47708,0.55754,0.92184,0.99203,0.97434,0.99055,0.93643,0.32795,0.33543,0.82577,0.000521727,0.000521727,0.000521727
24,992.665,0.45648,0.54915,0.90511,0.98864,0.97628,0.98854,0.9404,0.31968,0.34286,0.82085,0.000515124,0.000515124,0.000515124
25,1030.19,0.45911,0.52978,0.91146,0.98724,0.97853,0.98985,0.94461,0.28728,0.3317,0.81691,0.000508521,0.000508521,0.000508521
26,1067.6,0.42854,0.50356,0.89069,0.99228,0.97744,0.992,0.94968,0.29325,0.32814,0.8217,0.000501917,0.000501917,0.000501917
27,1111.42,0.45318,0.52769,0.91201,0.99035,0.97701,0.99026,0.94774,0.28953,0.3275,0.81749,0.000495314,0.000495314,0.000495314
28,1157.16,0.45998,0.51068,0.89958,0.98892,0.97894,0.98965,0.94674,0.29318,0.32264,0.81768,0.000488711,0.000488711,0.000488711
29,1199.32,0.43267,0.49053,0.89841,0.98584,0.9788,0.99024,0.94312,0.30499,0.32002,0.81719,0.000482108,0.000482108,0.000482108
