epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9469,0.71873,3.34152,0.99883,0.5837,0.50702,0.43385,0.38182,0.5108,2.04115,0.89306,0.000220366,0.000220366,0.000220366
2,43.9055,0.69294,1.61122,0.98566,0.77511,0.76355,0.82033,0.72391,0.47761,0.77709,0.86968,0.000438316,0.000438316,0.000438316
3,66.0296,0.61747,1.09462,0.95611,0.89425,0.86272,0.93908,0.85925,0.40924,0.65335,0.86105,0.000651865,0.000651865,0.000651865
4,89.868,0.59146,0.94693,0.94898,0.9598,0.93269,0.97759,0.89114,0.42122,0.5629,0.86407,0.00064719,0.00064719,0.00064719
5,111.76,0.54931,0.81984,0.93513,0.97401,0.9551,0.98062,0.9122,0.3673,0.47758,0.84462,0.000640587,0.000640587,0.000640587
6,133.138,0.52465,0.74318,0.92271,0.98124,0.95628,0.98584,0.90456,0.41338,0.47822,0.84428,0.000633983,0.000633983,0.000633983
7,149.13,0.52707,0.71204,0.92664,0.97708,0.95803,0.98246,0.91559,0.36624,0.42743,0.83813,0.00062738,0.00062738,0.00062738
8,160.162,0.52079,0.65339,0.92145,0.98661,0.96894,0.9867,0.91583,0.36463,0.39646,0.83469,0.000620777,0.000620777,0.000620777
9,181.445,0.48954,0.61966,0.91123,0.98739,0.9731,0.98681,0.94206,0.30261,0.37695,0.82558,0.000614174,0.000614174,0.000614174
10,205.749,0.47532,0.60676,0.90959,0.98948,0.97165,0.98872,0.9278,0.34487,0.3693,0.82613,0.00060757,0.00060757,0.00060757
11,229.681,0.48188,0.58927,0.91447,0.99351,0.96818,0.98892,0.92886,0.33711,0.36219,0.8335,0.000600967,0.000600967,0.000600967
12,252.785,0.49118,0.57735,0.92197,0.99068,0.97545,0.98977,0.93741,0.3121,0.34757,0.82083,0.000594364,0.000594364,0.000594364
13,272.508,0.46601,0.55146,0.911,0.99069,0.97666,0.98974,0.94658,0.29136,0.33204,0.82242,0.00058776,0.00058776,0.00058776
14,293.422,0.46227,0.54782,0.90677,0.98915,0.97974,0.99038,0.94663,0.29311,0.33376,0.81961,0.000581157,0.000581157,0.000581157
15,315.637,0.45114,0.53694,0.90776,0.99209,0.97652,0.99042,0.94249,0.32416,0.33483,0.81714,0.000574554,0.000574554,0.000574554
16,340.715,0.44959,0.51205,0.90059,0.99159,0.97917,0.99128,0.94992,0.2941,0.3181,0.81806,0.00056795,0.00056795,0.00056795
17,360.748,0.44672,0.50749,0.90449,0.99142,0.97893,0.99171,0.95247,0.28856,0.31423,0.81537,0.000561347,0.000561347,0.000561347
18,383.9,0.43434,0.48939,0.90166,0.99112,0.98015,0.99151,0.94096,0.3126,0.31163,0.81777,0.000554744,0.000554744,0.000554744
19,408.359,0.42616,0.48055,0.89677,0.99225,0.97802,0.99042,0.94512,0.31916,0.31346,0.81708,0.000548141,0.000548141,0.000548141
20,432.447,0.42454,0.47416,0.89604,0.995,0.97736,0.99021,0.94519,0.30743,0.30672,0.81429,0.000541537,0.000541537,0.000541537
21,455.606,0.4258,0.46789,0.89446,0.99399,0.97887,0.9917,0.95302,0.29038,0.29483,0.81228,0.000534934,0.000534934,0.000534934
22,470.727,0.42031,0.46777,0.89398,0.99393,0.9789,0.9926,0.95269,0.29127,0.29667,0.81073,0.000528331,0.000528331,0.000528331
23,479.539,0.43047,0.4487,0.88737,0.99545,0.978,0.99127,0.95062,0.3003,0.29606,0.81349,0.000521727,0.000521727,0.000521727
24,488.268,0.41849,0.44194,0.88761,0.99532,0.9788,0.99276,0.94844,0.3141,0.29693,0.81179,0.000515124,0.000515124,0.000515124
25,497.232,0.42258,0.44168,0.89136,0.99538,0.98056,0.99281,0.95672,0.26959,0.27308,0.80917,0.000508521,0.000508521,0.000508521
26,506.956,0.42079,0.44558,0.88754,0.9941,0.98203,0.99225,0.95564,0.27774,0.27859,0.80915,0.000501917,0.000501917,0.000501917
27,516.551,0.4172,0.43487,0.89125,0.99205,0.98328,0.99304,0.95685,0.27613,0.27981,0.80758,0.000495314,0.000495314,0.000495314
28,526.149,0.4073,0.43266,0.88759,0.99286,0.98202,0.99266,0.95741,0.26855,0.27533,0.80948,0.000488711,0.000488711,0.000488711
29,535.714,0.39592,0.41785,0.88445,0.99274,0.97911,0.9915,0.96014,0.26545,0.27431,0.80769,0.000482108,0.000482108,0.000482108
30,545.229,0.39788,0.42022,0.88253,0.99423,0.98265,0.99246,0.9592,0.27496,0.26804,0.80834,0.000475504,0.000475504,0.000475504
31,554.877,0.40734,0.41934,0.88782,0.99617,0.97931,0.993,0.95795,0.29125,0.27634,0.80941,0.000468901,0.000468901,0.000468901
32,564.811,0.40199,0.40809,0.88188,0.99371,0.98409,0.99322,0.95928,0.26776,0.26275,0.80742,0.000462298,0.000462298,0.000462298
33,574.88,0.38772,0.40003,0.8844,0.99616,0.98392,0.99336,0.96643,0.24528,0.25343,0.80364,0.000455694,0.000455694,0.000455694
34,585.02,0.3955,0.39085,0.87431,0.9964,0.98197,0.99351,0.96309,0.25965,0.26886,0.80401,0.000449091,0.000449091,0.000449091
35,595.027,0.38481,0.38843,0.87347,0.99594,0.98249,0.99272,0.96078,0.27998,0.25916,0.8046,0.000442488,0.000442488,0.000442488
36,605.039,0.38972,0.38762,0.87407,0.99755,0.97977,0.99288,0.95716,0.28415,0.25972,0.80619,0.000435884,0.000435884,0.000435884
37,614.917,0.38501,0.3853,0.87901,0.99523,0.98568,0.99365,0.96229,0.26193,0.25129,0.80455,0.000429281,0.000429281,0.000429281
38,625.018,0.3826,0.37699,0.87823,0.99528,0.98162,0.99351,0.96492,0.25711,0.2509,0.8009,0.000422678,0.000422678,0.000422678
39,635.125,0.38902,0.38152,0.87836,0.99659,0.98177,0.99313,0.96587,0.25274,0.24683,0.80193,0.000416075,0.000416075,0.000416075
40,645.112,0.39628,0.38086,0.87778,0.99647,0.98328,0.99326,0.95667,0.28744,0.25277,0.81064,0.000409471,0.000409471,0.000409471
41,655.152,0.39447,0.37832,0.88435,0.99414,0.98455,0.99398,0.96327,0.26784,0.24723,0.80518,0.000402868,0.000402868,0.000402868
42,665.227,0.38507,0.37053,0.8767,0.9929,0.98408,0.99318,0.9651,0.24301,0.24136,0.80381,0.000396265,0.000396265,0.000396265
43,675.096,0.37332,0.35867,0.87301,0.9942,0.98285,0.99325,0.96304,0.26849,0.24352,0.80362,0.000389661,0.000389661,0.000389661
44,685.071,0.3736,0.35406,0.87278,0.99443,0.98375,0.99327,0.96705,0.24932,0.23798,0.79993,0.000383058,0.000383058,0.000383058
45,695.106,0.37494,0.36208,0.87017,0.99447,0.98459,0.99389,0.96771,0.24579,0.23727,0.79972,0.000376455,0.000376455,0.000376455
46,705.122,0.37761,0.35873,0.87266,0.99645,0.98296,0.99384,0.96927,0.24435,0.23474,0.79946,0.000369851,0.000369851,0.000369851
47,715.768,0.38042,0.36236,0.87795,0.99258,0.98533,0.9941,0.96758,0.25019,0.23747,0.80151,0.000363248,0.000363248,0.000363248
48,726.491,0.36836,0.3557,0.87412,0.99618,0.97983,0.99332,0.96318,0.26335,0.24336,0.80245,0.000356645,0.000356645,0.000356645
49,736.962,0.36943,0.35581,0.87251,0.99668,0.98388,0.99411,0.9669,0.2451,0.23516,0.79966,0.000350042,0.000350042,0.000350042
50,747.134,0.3723,0.35776,0.87204,0.99705,0.98257,0.99359,0.96872,0.23334,0.22699,0.7973,0.000343438,0.000343438,0.000343438
51,757.319,0.36236,0.34834,0.86544,0.9942,0.98475,0.99365,0.97072,0.24467,0.23002,0.79838,0.000336835,0.000336835,0.000336835
52,767.35,0.3631,0.34182,0.87266,0.99538,0.98448,0.99381,0.97236,0.22802,0.22342,0.79739,0.000330232,0.000330232,0.000330232
53,777.257,0.35471,0.33475,0.86983,0.99554,0.98312,0.99341,0.97016,0.23928,0.22259,0.79961,0.000323628,0.000323628,0.000323628
54,787.038,0.3556,0.33645,0.86771,0.99523,0.98328,0.99362,0.9709,0.23545,0.22872,0.79833,0.000317025,0.000317025,0.000317025
55,796.946,0.36201,0.34417,0.87134,0.99611,0.98449,0.99402,0.96972,0.25363,0.23142,0.79952,0.000310422,0.000310422,0.000310422
56,807.063,0.35973,0.33781,0.86849,0.99639,0.98469,0.99397,0.97124,0.2279,0.21818,0.79574,0.000303818,0.000303818,0.000303818
57,817.159,0.35579,0.32879,0.8627,0.99582,0.98618,0.99369,0.97006,0.2384,0.22053,0.79803,0.000297215,0.000297215,0.000297215
58,827.174,0.36042,0.32741,0.86745,0.99711,0.98522,0.99395,0.972,0.2243,0.21752,0.79511,0.000290612,0.000290612,0.000290612
59,837.24,0.3493,0.32135,0.8645,0.99456,0.98826,0.99389,0.97109,0.23999,0.21827,0.79741,0.000284009,0.000284009,0.000284009
60,847.352,0.35333,0.32649,0.86825,0.99463,0.98741,0.99404,0.97206,0.23397,0.21829,0.79804,0.000277405,0.000277405,0.000277405
61,857.526,0.35598,0.32839,0.86799,0.9953,0.98596,0.99395,0.97243,0.22722,0.21624,0.79594,0.000270802,0.000270802,0.000270802
62,867.68,0.34929,0.32233,0.86086,0.99566,0.98532,0.99335,0.97067,0.23714,0.21887,0.79728,0.000264199,0.000264199,0.000264199
63,877.809,0.34742,0.32084,0.86139,0.99583,0.98607,0.99374,0.97278,0.23969,0.21902,0.79771,0.000257595,0.000257595,0.000257595
64,887.752,0.34302,0.31677,0.86336,0.99521,0.98493,0.99349,0.97298,0.21685,0.20979,0.79486,0.000250992,0.000250992,0.000250992
65,897.668,0.34805,0.32128,0.86563,0.99438,0.98544,0.99385,0.97374,0.2265,0.20993,0.79498,0.000244389,0.000244389,0.000244389
66,907.816,0.34365,0.31222,0.86379,0.99632,0.98389,0.99384,0.97247,0.23378,0.21253,0.79556,0.000237785,0.000237785,0.000237785
67,917.902,0.33975,0.31107,0.86548,0.99538,0.98634,0.99385,0.97387,0.22361,0.20969,0.79406,0.000231182,0.000231182,0.000231182
68,927.892,0.33987,0.31104,0.85986,0.99512,0.98574,0.99396,0.97467,0.22324,0.20699,0.79433,0.000224579,0.000224579,0.000224579
69,938.047,0.34256,0.31066,0.8668,0.99373,0.98712,0.99384,0.97424,0.22429,0.20867,0.79421,0.000217976,0.000217976,0.000217976
70,948.086,0.34702,0.31259,0.86649,0.99372,0.98657,0.99388,0.97418,0.22088,0.20811,0.79387,0.000211372,0.000211372,0.000211372
71,957.135,0.34132,0.3077,0.86431,0.9964,0.98716,0.99404,0.97433,0.233,0.2076,0.79495,0.000204769,0.000204769,0.000204769
72,966.067,0.3372,0.30415,0.86037,0.9945,0.98671,0.99349,0.97331,0.23039,0.20746,0.79308,0.000198166,0.000198166,0.000198166
73,975.713,0.33453,0.30315,0.85905,0.99584,0.98568,0.994,0.97462,0.21407,0.20184,0.79199,0.000191562,0.000191562,0.000191562
74,985.81,0.33134,0.29914,0.86211,0.99536,0.98717,0.99396,0.97503,0.22615,0.20613,0.79219,0.000184959,0.000184959,0.000184959
75,995.764,0.33248,0.30452,0.8631,0.99428,0.98718,0.99369,0.97511,0.22696,0.20304,0.7933,0.000178356,0.000178356,0.000178356
76,1005.78,0.33269,0.30085,0.8591,0.99529,0.98746,0.9941,0.97617,0.21485,0.20208,0.79164,0.000171752,0.000171752,0.000171752
77,1015.85,0.32956,0.29753,0.86035,0.99562,0.98762,0.99411,0.97538,0.23297,0.2046,0.79329,0.000165149,0.000165149,0.000165149
78,1025.98,0.33007,0.29957,0.85423,0.99427,0.98842,0.99379,0.97728,0.21106,0.19696,0.79026,0.000158546,0.000158546,0.000158546
79,1036.01,0.32724,0.29566,0.85911,0.99304,0.99014,0.99418,0.97676,0.22642,0.20293,0.79255,0.000151943,0.000151943,0.000151943
80,1045.97,0.32451,0.29402,0.85694,0.99462,0.98876,0.99395,0.97719,0.21482,0.19619,0.79064,0.000145339,0.000145339,0.000145339
81,1056.03,0.32616,0.29542,0.86009,0.9949,0.98879,0.99396,0.97734,0.21308,0.19466,0.79147,0.000138736,0.000138736,0.000138736
82,1066.14,0.32673,0.29552,0.86085,0.99371,0.98779,0.99388,0.97674,0.22438,0.19762,0.79265,0.000132133,0.000132133,0.000132133
83,1076.14,0.33024,0.29645,0.86109,0.99562,0.98657,0.99378,0.97581,0.22713,0.19918,0.79242,0.000125529,0.000125529,0.000125529
84,1086.3,0.31934,0.28609,0.85384,0.99549,0.9874,0.99405,0.97655,0.22251,0.1946,0.79121,0.000118926,0.000118926,0.000118926
85,1096.28,0.32239,0.28795,0.85459,0.99591,0.98772,0.99406,0.97775,0.21478,0.1924,0.79014,0.000112323,0.000112323,0.000112323
86,1106.42,0.32451,0.28727,0.85928,0.99593,0.98891,0.99403,0.97744,0.21239,0.19146,0.7908,0.00010572,0.00010572,0.00010572
87,1116.4,0.31388,0.27718,0.85727,0.9958,0.98829,0.99416,0.97848,0.20872,0.19014,0.78962,9.91162e-05,9.91162e-05,9.91162e-05
88,1126.45,0.31773,0.28298,0.85506,0.99464,0.9889,0.99405,0.97748,0.2055,0.19005,0.78942,9.25129e-05,9.25129e-05,9.25129e-05
89,1136.39,0.32251,0.28584,0.85823,0.99462,0.9889,0.99401,0.97812,0.21917,0.19119,0.79023,8.59096e-05,8.59096e-05,8.59096e-05
90,1146.28,0.30665,0.27861,0.85182,0.99466,0.9882,0.99396,0.97774,0.2175,0.19127,0.79117,7.93063e-05,7.93063e-05,7.93063e-05
91,1161.1,0.24225,0.22693,0.8162,0.99628,0.98787,0.99397,0.97739,0.20904,0.18897,0.78885,7.2703e-05,7.2703e-05,7.2703e-05
92,1170.55,0.2417,0.2243,0.8161,0.99548,0.98819,0.99398,0.97791,0.2133,0.18901,0.7901,6.60997e-05,6.60997e-05,6.60997e-05
93,1180.25,0.23916,0.22288,0.81118,0.99656,0.98711,0.99399,0.97795,0.21651,0.1896,0.79012,5.94964e-05,5.94964e-05,5.94964e-05
94,1190.24,0.23841,0.22213,0.80871,0.99588,0.98924,0.9943,0.97894,0.21249,0.18631,0.78913,5.28931e-05,5.28931e-05,5.28931e-05
95,1200.12,0.23809,0.21995,0.81433,0.9958,0.98941,0.9944,0.97892,0.20433,0.1845,0.78871,4.62898e-05,4.62898e-05,4.62898e-05
96,1210.08,0.23846,0.22076,0.81352,0.99568,0.98887,0.99427,0.97828,0.20737,0.18537,0.78952,3.96865e-05,3.96865e-05,3.96865e-05
97,1219.9,0.24067,0.21974,0.81575,0.99567,0.9883,0.99421,0.97912,0.20792,0.1834,0.78843,3.30832e-05,3.30832e-05,3.30832e-05
98,1229.8,0.23702,0.22131,0.81641,0.996,0.98854,0.99429,0.979,0.20456,0.18185,0.78861,2.64799e-05,2.64799e-05,2.64799e-05
99,1239.86,0.22933,0.21271,0.81363,0.99575,0.98843,0.99425,0.97941,0.20777,0.18224,0.7883,1.98766e-05,1.98766e-05,1.98766e-05
100,1249.87,0.22953,0.2135,0.81334,0.99601,0.98821,0.99415,0.97941,0.20378,0.18102,0.78809,1.32733e-05,1.32733e-05,1.32733e-05
