epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.5673,0.74976,3.98291,1.01078,0.01238,0.66157,0.08017,0.06216,0.51861,3.7624,0.83942,0.000216482,0.000216482,0.000216482
2,77.1822,0.76002,2.95994,1.00794,0.69067,0.24223,0.37131,0.31983,0.54545,2.69569,0.86624,0.000434472,0.000434472,0.000434472
3,112.221,0.73756,2.21615,0.98014,0.49314,0.47118,0.49952,0.41134,0.592,1.71637,0.89909,0.000648058,0.000648058,0.000648058
4,145.33,0.76467,1.73336,1.00126,0.70306,0.51699,0.58993,0.48686,0.60131,1.36171,0.90978,0.00064719,0.00064719,0.00064719
5,178.425,0.74595,1.50092,0.98629,0.88317,0.61825,0.70056,0.60134,0.52392,1.14403,0.88351,0.000640587,0.000640587,0.000640587
6,211.118,0.69434,1.37875,0.98242,0.73084,0.7072,0.74547,0.64871,0.50863,0.89766,0.88417,0.000633983,0.000633983,0.000633983
7,244.602,0.66703,1.26189,0.99273,0.75974,0.73433,0.79701,0.72049,0.45069,0.83819,0.87989,0.00062738,0.00062738,0.00062738
8,277.504,0.61692,1.1436,0.95504,0.73377,0.79625,0.81382,0.73881,0.42617,0.79092,0.86488,0.000620777,0.000620777,0.000620777
9,310.69,0.60911,1.05948,0.96832,0.84505,0.80598,0.86461,0.79767,0.40266,0.68225,0.8592,0.000614174,0.000614174,0.000614174
10,341.463,0.58941,0.99568,0.94358,0.85849,0.87053,0.91745,0.83577,0.42501,0.62822,0.85393,0.00060757,0.00060757,0.00060757
11,377.006,0.5686,0.9283,0.94288,0.8801,0.91105,0.95484,0.86808,0.42117,0.57313,0.86697,0.000600967,0.000600967,0.000600967
12,412.785,0.60677,0.9569,0.95704,0.92781,0.92269,0.96158,0.89693,0.37468,0.54796,0.84696,0.000594364,0.000594364,0.000594364
13,449.562,0.56191,0.83344,0.94207,0.91708,0.93164,0.96658,0.89584,0.37786,0.52902,0.84518,0.00058776,0.00058776,0.00058776
14,484.623,0.53354,0.8047,0.9305,0.9457,0.91872,0.969,0.89429,0.38964,0.5232,0.85502,0.000581157,0.000581157,0.000581157
15,518.141,0.5377,0.7858,0.94176,0.95458,0.92308,0.97165,0.90685,0.36217,0.5081,0.83824,0.000574554,0.000574554,0.000574554
16,551.315,0.52871,0.75797,0.9196,0.9712,0.93635,0.9775,0.91332,0.35272,0.47331,0.83768,0.00056795,0.00056795,0.00056795
17,584.773,0.52224,0.75684,0.94184,0.98226,0.94061,0.98184,0.92199,0.3546,0.46251,0.83912,0.000561347,0.000561347,0.000561347
18,617.224,0.51456,0.75176,0.92486,0.98225,0.92575,0.98295,0.91739,0.35258,0.44047,0.83643,0.000554744,0.000554744,0.000554744
19,651.467,0.51573,0.70666,0.92722,0.98032,0.95405,0.98256,0.91657,0.36877,0.44625,0.83873,0.000548141,0.000548141,0.000548141
20,682.84,0.54522,0.70234,0.94464,0.9788,0.95375,0.97991,0.90934,0.35668,0.45838,0.84193,0.000541537,0.000541537,0.000541537
21,715.298,0.52582,0.68543,0.92786,0.98538,0.958,0.98576,0.9143,0.36039,0.42415,0.83265,0.000534934,0.000534934,0.000534934
22,751.903,0.50933,0.65694,0.92473,0.98435,0.96256,0.98531,0.9263,0.33799,0.40826,0.82994,0.000528331,0.000528331,0.000528331
23,789.553,0.47316,0.61635,0.90203,0.99084,0.96599,0.98907,0.93728,0.32421,0.3953,0.82922,0.000521727,0.000521727,0.000521727
24,825.212,0.47812,0.61703,0.90029,0.98638,0.97076,0.98882,0.93588,0.32249,0.38565,0.82708,0.000515124,0.000515124,0.000515124
25,859.013,0.48006,0.63138,0.91102,0.98814,0.96256,0.9847,0.93233,0.32675,0.36985,0.82854,0.000508521,0.000508521,0.000508521
