epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.8095,0.73392,3.52379,1.00795,0.66743,0.28884,0.36963,0.32456,0.50893,2.60365,0.88639,0.000219807,0.000219807,0.000219807
2,102.961,0.74065,1.95527,0.99499,0.55047,0.70488,0.70556,0.61021,0.5375,1.15106,0.87888,0.000437763,0.000437763,0.000437763
3,152.387,0.67814,1.35,0.97828,0.75802,0.81172,0.85314,0.75656,0.46256,0.79621,0.87201,0.000651317,0.000651317,0.000651317
4,199.11,0.63901,1.06496,0.96959,0.87312,0.85567,0.89717,0.81684,0.42873,0.60957,0.86774,0.00064719,0.00064719,0.00064719
5,247.159,0.62214,0.9609,0.9652,0.93923,0.92692,0.972,0.882,0.43319,0.53944,0.85659,0.000640587,0.000640587,0.000640587
6,294.396,0.55655,0.83679,0.93888,0.97097,0.94348,0.97881,0.90027,0.39228,0.48922,0.8596,0.000633983,0.000633983,0.000633983
7,340.445,0.53572,0.75309,0.93298,0.97609,0.94917,0.98205,0.91236,0.37272,0.4991,0.84433,0.00062738,0.00062738,0.00062738
8,388.983,0.52766,0.70767,0.93586,0.96964,0.94973,0.97954,0.91645,0.35467,0.4815,0.8379,0.000620777,0.000620777,0.000620777
9,443.858,0.51845,0.66982,0.93257,0.9779,0.96254,0.98591,0.9195,0.35694,0.41636,0.83605,0.000614174,0.000614174,0.000614174
10,495.413,0.49813,0.65481,0.91749,0.98515,0.96649,0.98705,0.93001,0.34178,0.39283,0.8373,0.00060757,0.00060757,0.00060757
11,542.514,0.47372,0.6023,0.9083,0.98937,0.9676,0.98631,0.9297,0.33309,0.3861,0.83035,0.000600967,0.000600967,0.000600967
12,590.619,0.49138,0.61795,0.91797,0.99219,0.96909,0.98867,0.92736,0.3481,0.37631,0.8263,0.000594364,0.000594364,0.000594364
13,637.087,0.47638,0.59615,0.90956,0.98311,0.97579,0.98614,0.93702,0.32616,0.39364,0.82537,0.00058776,0.00058776,0.00058776
14,682.824,0.46275,0.58219,0.9087,0.98768,0.97174,0.98873,0.93941,0.30891,0.36954,0.82069,0.000581157,0.000581157,0.000581157
15,726.379,0.46875,0.5781,0.91077,0.98825,0.97887,0.98965,0.93772,0.32634,0.36512,0.83148,0.000574554,0.000574554,0.000574554
16,779.69,0.46732,0.55837,0.90855,0.9904,0.97427,0.98894,0.93674,0.33145,0.35022,0.82503,0.00056795,0.00056795,0.00056795
17,831.701,0.46628,0.54295,0.91657,0.99277,0.97454,0.99068,0.94855,0.2906,0.33406,0.81691,0.000561347,0.000561347,0.000561347
18,878.584,0.43717,0.5066,0.893,0.99128,0.97539,0.98939,0.94347,0.30224,0.33837,0.81632,0.000554744,0.000554744,0.000554744
19,926.199,0.44593,0.52707,0.90411,0.99274,0.97751,0.99026,0.94683,0.29874,0.32787,0.81946,0.000548141,0.000548141,0.000548141
20,974.415,0.44214,0.50643,0.90089,0.98957,0.97646,0.98928,0.94332,0.31255,0.32534,0.81904,0.000541537,0.000541537,0.000541537
21,1020.22,0.44026,0.50098,0.89608,0.98602,0.9797,0.99064,0.94903,0.29093,0.3099,0.81667,0.000534934,0.000534934,0.000534934
22,1063.13,0.43718,0.49925,0.90114,0.99253,0.97696,0.99018,0.94597,0.29812,0.32299,0.81856,0.000528331,0.000528331,0.000528331
23,1111.75,0.45168,0.50473,0.90907,0.99286,0.97689,0.9899,0.94639,0.29347,0.3176,0.81511,0.000521727,0.000521727,0.000521727
24,1162.78,0.43744,0.48759,0.90179,0.99127,0.98034,0.99129,0.95248,0.27995,0.30335,0.81373,0.000515124,0.000515124,0.000515124
25,1211.83,0.43885,0.47514,0.90243,0.99038,0.9793,0.99121,0.94661,0.30736,0.30498,0.81678,0.000508521,0.000508521,0.000508521
26,1259.17,0.43399,0.47375,0.89001,0.99473,0.97748,0.99082,0.95435,0.26943,0.2904,0.81088,0.000501917,0.000501917,0.000501917
27,1308.27,0.42781,0.4735,0.89553,0.99268,0.98004,0.99074,0.95187,0.29597,0.29441,0.81207,0.000495314,0.000495314,0.000495314
28,1354.02,0.41827,0.45059,0.8906,0.99237,0.98098,0.99205,0.95288,0.28049,0.29365,0.81232,0.000488711,0.000488711,0.000488711
29,1399.14,0.41451,0.44608,0.88254,0.99474,0.97824,0.99129,0.9515,0.29021,0.28558,0.80929,0.000482108,0.000482108,0.000482108
30,1442.82,0.42077,0.44731,0.88567,0.99226,0.98158,0.99187,0.95683,0.27532,0.279,0.80676,0.000475504,0.000475504,0.000475504
31,1496.39,0.41283,0.43194,0.88639,0.9945,0.97909,0.99166,0.95482,0.27736,0.28257,0.81106,0.000468901,0.000468901,0.000468901
32,1548.48,0.42646,0.4555,0.89669,0.99422,0.97819,0.99115,0.95673,0.27183,0.27733,0.80922,0.000462298,0.000462298,0.000462298
33,1595.34,0.41178,0.43472,0.88641,0.99544,0.98117,0.99309,0.95498,0.28277,0.28066,0.80988,0.000455694,0.000455694,0.000455694
34,1642.94,0.40465,0.42294,0.88254,0.99279,0.98338,0.99238,0.95787,0.2832,0.28245,0.81067,0.000449091,0.000449091,0.000449091
35,1690.94,0.40489,0.41655,0.88589,0.99233,0.98245,0.99244,0.95829,0.26093,0.27316,0.80689,0.000442488,0.000442488,0.000442488
36,1735.95,0.3998,0.41244,0.88505,0.99257,0.98058,0.99291,0.95906,0.2655,0.26843,0.80665,0.000435884,0.000435884,0.000435884
37,1780.09,0.39716,0.41107,0.88242,0.9936,0.97978,0.99213,0.95895,0.27285,0.26767,0.80905,0.000429281,0.000429281,0.000429281
38,1828.42,0.38569,0.40462,0.88202,0.99365,0.98168,0.99199,0.96086,0.27372,0.26626,0.80723,0.000422678,0.000422678,0.000422678
39,1879.16,0.39731,0.40643,0.88069,0.99526,0.98098,0.99287,0.95963,0.26286,0.25917,0.80541,0.000416075,0.000416075,0.000416075
40,1929.05,0.39086,0.40471,0.88666,0.99398,0.98425,0.99329,0.9549,0.28108,0.27267,0.80798,0.000409471,0.000409471,0.000409471
41,1975.68,0.391,0.39592,0.88123,0.99415,0.98209,0.99273,0.96111,0.2698,0.25841,0.80629,0.000402868,0.000402868,0.000402868
42,2023.72,0.40093,0.39886,0.88664,0.99607,0.98264,0.99316,0.96103,0.26547,0.25779,0.80403,0.000396265,0.000396265,0.000396265
43,2070.16,0.39604,0.39862,0.8856,0.99508,0.98119,0.99302,0.96557,0.2568,0.25396,0.80365,0.000389661,0.000389661,0.000389661
44,2116.08,0.38569,0.39222,0.87604,0.99426,0.98299,0.99299,0.96274,0.26757,0.2598,0.80535,0.000383058,0.000383058,0.000383058
45,2159.9,0.38379,0.38611,0.87736,0.99629,0.98368,0.99348,0.96478,0.25523,0.25228,0.80452,0.000376455,0.000376455,0.000376455
46,2211.98,0.38764,0.38363,0.87969,0.99524,0.983,0.9932,0.96357,0.25167,0.24906,0.80144,0.000369851,0.000369851,0.000369851
47,2263.25,0.38783,0.38035,0.87945,0.99672,0.98248,0.99314,0.9643,0.25395,0.24426,0.80372,0.000363248,0.000363248,0.000363248
48,2310.57,0.38424,0.37885,0.8817,0.99539,0.98346,0.99291,0.96232,0.26627,0.24697,0.80415,0.000356645,0.000356645,0.000356645
49,2357.57,0.38669,0.37603,0.87993,0.99437,0.98407,0.99373,0.96444,0.25146,0.24428,0.80554,0.000350042,0.000350042,0.000350042
50,2404.91,0.38262,0.37861,0.88071,0.99253,0.98495,0.99346,0.96674,0.24634,0.2447,0.80162,0.000343438,0.000343438,0.000343438
51,2449.98,0.3806,0.37312,0.87452,0.99631,0.98292,0.99336,0.96572,0.26351,0.24039,0.8028,0.000336835,0.000336835,0.000336835
52,2493.81,0.37308,0.36782,0.87673,0.99375,0.98329,0.99347,0.96421,0.26798,0.24721,0.80337,0.000330232,0.000330232,0.000330232
53,2540.14,0.37923,0.36955,0.87665,0.99534,0.98139,0.99374,0.96747,0.23305,0.23751,0.79917,0.000323628,0.000323628,0.000323628
54,2591.59,0.37565,0.35536,0.87178,0.99648,0.98238,0.99337,0.96554,0.25292,0.23897,0.80082,0.000317025,0.000317025,0.000317025
55,2642.3,0.37227,0.35693,0.87342,0.99439,0.9853,0.99348,0.9666,0.26132,0.2408,0.80302,0.000310422,0.000310422,0.000310422
56,2689.88,0.38217,0.36263,0.87523,0.99412,0.9854,0.99334,0.96717,0.24161,0.23337,0.79842,0.000303818,0.000303818,0.000303818
57,2737,0.36207,0.35749,0.86767,0.99469,0.98356,0.99337,0.96742,0.2506,0.23602,0.79954,0.000297215,0.000297215,0.000297215
58,2781.63,0.36936,0.35756,0.87167,0.99146,0.98707,0.9936,0.96436,0.26776,0.23805,0.80083,0.000290612,0.000290612,0.000290612
59,2828.24,0.37587,0.35854,0.87303,0.9941,0.9859,0.99329,0.97003,0.23264,0.22914,0.79866,0.000284009,0.000284009,0.000284009
60,2871.51,0.36154,0.34954,0.87334,0.99526,0.98352,0.99342,0.96705,0.24571,0.23082,0.80028,0.000277405,0.000277405,0.000277405
61,2923.74,0.36876,0.35598,0.87193,0.99462,0.98377,0.99347,0.96969,0.23878,0.22457,0.79735,0.000270802,0.000270802,0.000270802
62,2975.96,0.36742,0.35223,0.87206,0.99399,0.98516,0.99362,0.96928,0.24383,0.23346,0.80044,0.000264199,0.000264199,0.000264199
63,3025.13,0.36419,0.34681,0.86867,0.99557,0.98284,0.99346,0.97018,0.23281,0.22855,0.79811,0.000257595,0.000257595,0.000257595
64,3072.98,0.34849,0.33862,0.86875,0.99562,0.98446,0.99357,0.9731,0.22239,0.21904,0.79606,0.000250992,0.000250992,0.000250992
