epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.2185,0.73468,3.61256,1.00438,0.69159,0.15606,0.31382,0.27824,0.50695,2.86705,0.8625,0.000219369,0.000219369,0.000219369
2,90.923,0.73861,2.13231,0.99682,0.39802,0.60273,0.56939,0.47118,0.58039,1.43247,0.90549,0.000437329,0.000437329,0.000437329
3,133.238,0.7205,1.46581,0.99418,0.7674,0.77158,0.81013,0.7187,0.48878,0.81719,0.87302,0.000650888,0.000650888,0.000650888
4,176.713,0.6565,1.16304,0.96952,0.78779,0.80476,0.84432,0.7404,0.50263,0.84512,0.89453,0.00064719,0.00064719,0.00064719
5,225.041,0.58946,0.9396,0.94151,0.90404,0.87248,0.92287,0.83443,0.46063,0.5826,0.86507,0.000640587,0.000640587,0.000640587
6,274.48,0.59009,0.90332,0.94694,0.94844,0.92469,0.969,0.90396,0.37883,0.51378,0.84954,0.000633983,0.000633983,0.000633983
7,318.623,0.54434,0.8304,0.92447,0.97193,0.94954,0.97902,0.90305,0.40054,0.50564,0.84625,0.00062738,0.00062738,0.00062738
8,362.853,0.55626,0.80859,0.93875,0.97339,0.9504,0.98084,0.91942,0.35811,0.465,0.83924,0.000620777,0.000620777,0.000620777
9,409.301,0.52473,0.72282,0.92853,0.97781,0.95395,0.98444,0.91856,0.36021,0.43673,0.83542,0.000614174,0.000614174,0.000614174
10,451.684,0.53215,0.7128,0.92616,0.98267,0.96866,0.98689,0.92914,0.33476,0.41069,0.83443,0.00060757,0.00060757,0.00060757
11,493.069,0.5339,0.68775,0.9312,0.98726,0.96625,0.98512,0.91043,0.38529,0.41897,0.83651,0.000600967,0.000600967,0.000600967
12,535.756,0.50645,0.63924,0.9136,0.98569,0.97185,0.98811,0.93193,0.33635,0.39884,0.83278,0.000594364,0.000594364,0.000594364
13,585.723,0.49285,0.62783,0.91413,0.98559,0.96616,0.98683,0.92973,0.34152,0.39548,0.83032,0.00058776,0.00058776,0.00058776
14,633.605,0.48182,0.62049,0.91401,0.98905,0.9714,0.98735,0.93325,0.33306,0.39711,0.8303,0.000581157,0.000581157,0.000581157
15,677.858,0.47805,0.58841,0.91456,0.98879,0.97072,0.98879,0.93935,0.31981,0.38774,0.82568,0.000574554,0.000574554,0.000574554
16,722.081,0.46881,0.57349,0.91175,0.99031,0.97368,0.99077,0.94204,0.30638,0.35852,0.82388,0.00056795,0.00056795,0.00056795
17,766.869,0.47006,0.56755,0.90641,0.99293,0.97039,0.99058,0.93963,0.32764,0.352,0.82222,0.000561347,0.000561347,0.000561347
18,810.078,0.47176,0.56626,0.91079,0.99178,0.97453,0.98956,0.94497,0.29941,0.3538,0.82008,0.000554744,0.000554744,0.000554744
