epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9607,0.81667,4.26618,1.06315,0.00411,0.22786,0.00573,0.00293,0.47253,4.07201,0.88279,8.004e-05,8.004e-05,8.004e-05
2,61.355,0.80224,3.96308,1.04043,0.00854,0.46873,0.03953,0.02805,0.42933,3.95213,0.84435,0.000165099,0.000165099,0.000165099
3,89.0882,0.72404,3.6067,0.99157,0.01139,0.68377,0.08552,0.06649,0.52276,3.79412,0.84129,0.000248441,0.000248441,0.000248441
4,115.265,0.79883,3.29239,1.03111,0.01416,0.85949,0.15104,0.12351,0.56983,3.51284,0.84901,0.000330067,0.000330067,0.000330067
5,142.558,0.80097,2.78723,1.03061,0.58693,0.16515,0.26923,0.22961,0.55463,2.9164,0.88441,0.000409976,0.000409976,0.000409976
6,169.018,0.81818,2.50237,1.05681,0.50756,0.36717,0.32326,0.27179,0.58555,2.42672,0.90158,0.000488167,0.000488167,0.000488167
7,195.519,0.84302,2.47478,1.03377,0.4948,0.45183,0.37871,0.31543,0.60673,2.06285,0.91676,0.000564642,0.000564642,0.000564642
8,221.347,0.83319,2.29468,1.03206,0.58536,0.50002,0.42494,0.35408,0.60639,1.98284,0.92276,0.000620777,0.000620777,0.000620777
9,244.834,0.8215,2.11655,1.04185,0.63384,0.47446,0.45077,0.37698,0.66442,1.98343,0.95429,0.000614174,0.000614174,0.000614174
10,270.522,0.81132,1.97259,1.04376,0.66892,0.50769,0.47174,0.39329,0.6647,1.89611,0.95768,0.00060757,0.00060757,0.00060757
11,295.802,0.79773,1.8042,1.02812,0.51127,0.5608,0.52866,0.44033,0.59264,1.68699,0.93031,0.000600967,0.000600967,0.000600967
12,321.359,0.7605,1.76577,1.01223,0.6628,0.54945,0.60293,0.50843,0.57872,1.48601,0.92132,0.000594364,0.000594364,0.000594364
13,350.635,0.74626,1.58847,1.00098,0.66201,0.60003,0.6464,0.55318,0.56362,1.40548,0.91108,0.00058776,0.00058776,0.00058776
14,379.457,0.74095,1.55051,0.99984,0.68621,0.6422,0.68186,0.59111,0.5319,1.28554,0.90282,0.000581157,0.000581157,0.000581157
15,408.816,0.7746,1.4595,1.02293,0.71546,0.65564,0.68834,0.58543,0.56424,1.19373,0.90513,0.000574554,0.000574554,0.000574554
16,437.403,0.69087,1.32835,0.97482,0.79861,0.67449,0.69271,0.58694,0.56447,1.18343,0.89856,0.00056795,0.00056795,0.00056795
17,463.845,0.72646,1.29634,0.99581,0.81897,0.64832,0.71608,0.62285,0.51693,1.16311,0.88966,0.000561347,0.000561347,0.000561347
18,489.56,0.68306,1.26729,0.97931,0.82192,0.6479,0.72833,0.63168,0.52495,1.15325,0.89561,0.000554744,0.000554744,0.000554744
19,516.281,0.64527,1.24427,0.9759,0.83581,0.64187,0.72793,0.62216,0.55453,1.13581,0.91295,0.000548141,0.000548141,0.000548141
20,543.576,0.65049,1.18596,0.99688,0.87775,0.69276,0.74581,0.66528,0.46596,1.01886,0.87994,0.000541537,0.000541537,0.000541537
21,570.616,0.61792,1.15076,0.95702,0.89245,0.69299,0.76186,0.68524,0.45328,0.9485,0.87203,0.000534934,0.000534934,0.000534934
22,598.044,0.66651,1.15553,0.97973,0.8766,0.71323,0.7856,0.69646,0.49102,0.85827,0.87584,0.000528331,0.000528331,0.000528331
23,625.394,0.62824,1.09466,0.96622,0.7816,0.74275,0.80248,0.70866,0.48892,0.86859,0.88255,0.000521727,0.000521727,0.000521727
24,651.213,0.61917,1.04721,0.94544,0.74451,0.73656,0.79425,0.70801,0.4652,0.91343,0.87693,0.000515124,0.000515124,0.000515124
25,675.441,0.61466,1.01731,0.95794,0.73531,0.72107,0.77967,0.69946,0.46523,0.99214,0.87539,0.000508521,0.000508521,0.000508521
26,704.461,0.67296,1.035,0.98121,0.8066,0.72023,0.78669,0.70444,0.47458,0.95897,0.8715,0.000501917,0.000501917,0.000501917
27,734.052,0.63811,0.98658,0.96776,0.91924,0.72889,0.811,0.73352,0.43746,0.8411,0.86176,0.000495314,0.000495314,0.000495314
28,762.093,0.614,1.08413,0.97248,0.9536,0.7459,0.83275,0.76275,0.41413,0.76955,0.85875,0.000488711,0.000488711,0.000488711
29,791.132,0.58773,1.01655,0.9289,0.92543,0.76279,0.83527,0.76732,0.4133,0.75887,0.85922,0.000482108,0.000482108,0.000482108
30,817.423,0.62625,0.97296,0.9803,0.94197,0.75982,0.85036,0.75859,0.49275,0.74006,0.87413,0.000475504,0.000475504,0.000475504
31,843.539,0.60276,0.95489,0.94841,0.92897,0.78466,0.86225,0.77925,0.44188,0.68479,0.86106,0.000468901,0.000468901,0.000468901
32,869.96,0.5924,0.95346,0.94578,0.93237,0.78164,0.86549,0.7846,0.42439,0.65613,0.85576,0.000462298,0.000462298,0.000462298
33,896.686,0.5737,0.90813,0.93117,0.86128,0.82372,0.88056,0.81376,0.38917,0.58843,0.85091,0.000455694,0.000455694,0.000455694
34,923.392,0.55205,0.86229,0.93169,0.86665,0.84683,0.89533,0.82345,0.40323,0.56722,0.85063,0.000449091,0.000449091,0.000449091
35,949.6,0.60738,0.89866,0.9559,0.87223,0.87311,0.91736,0.83944,0.41631,0.54348,0.85525,0.000442488,0.000442488,0.000442488
36,975.647,0.52697,0.85398,0.91906,0.8784,0.8757,0.92246,0.86199,0.35549,0.53659,0.84798,0.000435884,0.000435884,0.000435884
37,1002.38,0.5529,0.86042,0.97791,0.88257,0.87928,0.92851,0.86721,0.35769,0.53903,0.84811,0.000429281,0.000429281,0.000429281
38,1024.61,0.57937,0.84689,0.94556,0.90579,0.88375,0.93942,0.86885,0.37857,0.5406,0.85509,0.000422678,0.000422678,0.000422678
39,1053.55,0.57315,0.87284,0.94637,0.89933,0.87999,0.93711,0.8659,0.388,0.54902,0.85259,0.000416075,0.000416075,0.000416075
